genes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Ccrl2,1.4495356,1.1033458,0.51932037,0.5068275,0.44098246,0.441932,0.6861496,0.3025366,0.50365794,0.5941981,0.6356871,0.77264434,0.88067985,1.0296448,0.9936279,1.0183461,1.0240988,1.0594926,1.2004669,1.3617333,1.426181,1.5454202,1.7189587,1.7024813,1.7160813,1.6731242,1.5829023,1.7481991,1.7962193,1.9097792,1.949286,1.9700081,2.1691322,2.0748312,2.2437963,2.262547,2.0630422,2.0869982,2.0694098,2.0608234,1.9422648,2.1729333,1.8810544,2.124311,2.1169345,2.20874,2.2550342,2.4144237,1.94774,2.4664953
Cd14,2.4477053,0.5206237,0.39834073,0.18784799,0.43556687,0.4123316,0.106655285,0.22716217,0.5920196,0.5614561,0.5912932,0.544167,0.4853516,0.47281563,0.6071203,0.8262362,0.9328385,1.1312761,1.165657,1.4473649,1.4895618,1.7347127,1.8435247,1.9456999,1.8872339,1.9307169,2.0279925,1.9470887,1.878541,1.8345642,1.9565482,1.9339284,1.9154353,1.9041239,1.7729684,1.7506704,1.536552,1.72985,1.5962495,1.5878971,1.5447466,1.5861017,1.341957,1.4345307,1.3621225,1.0873718,0.85883194,0.691704,0.7723522,2.3010075
Phyhd1,0.0,0.0,0.0,0.0,0.0,0.0,0.05711318,0.0,0.02596911,0.006490359,0.012458797,0.011908031,0.018061312,0.0076399506,0.015441217,0.030897664,0.03528483,0.052972924,0.050067477,0.06477224,0.034233492,0.09221659,0.08250001,0.14150019,0.14216627,0.23021336,0.25785425,0.36732915,0.3596785,0.30666503,0.55199647,0.48682836,0.6205101,0.55446035,0.75814706,0.75795233,1.2677563,0.9284333,0.9879546,1.018233,1.1015191,1.1748883,1.3220009,1.36086,1.3129913,1.1833378,0.69235545,1.940795,1.5005759,2.7327285
Fth1,3.7013097,4.1040254,3.823647,3.6936738,3.9887168,3.4649315,3.40146,3.7018023,4.0537834,3.7561247,3.682151,3.543587,3.7206695,3.8721497,3.9003236,3.817033,3.7547963,3.8508487,3.8393388,3.922945,3.8944535,4.0532084,4.0774517,4.2473116,4.5021734,4.6425915,4.8635125,4.7779264,4.9282465,4.9046206,5.1683836,5.3521037,5.3546467,5.3324666,5.426583,5.5512624,5.703871,5.711108,5.7799764,5.567238,5.765797,5.5993557,5.590777,5.830623,5.788002,5.693391,5.491852,5.7267632,5.553843,5.6953464
Ralgds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010985083,0.010914881,0.015182259,0.010899343,0.011386906,0.023016,0.019399378,0.03687869,0.044191383,0.06936733,0.056273904,0.06516939,0.1555269,0.13913444,0.13528284,0.17138584,0.19505548,0.32718587,0.24735156,0.26664317,0.5284723,0.38606846,0.390626,0.58691233,0.7293562,0.68185407,0.5810138,0.7831473,0.7613083,0.83444214,0.83853793,0.9247113,0.7545226,0.94914967,0.80613756,0.8439347,1.1526321,1.2039859,1.3162198,1.0284929
Rsad2,0.43550077,0.31624556,0.3897796,0.25782287,0.35198048,0.21719955,0.45010749,0.0,0.58137673,0.39942637,0.34420222,0.4088139,0.82196325,1.2023805,1.3029938,1.229229,1.1967438,1.1567986,1.2877194,1.4536695,1.5679682,1.9109384,2.1798382,2.1192784,2.075297,1.9874208,1.8760716,1.8411119,2.0250776,2.1203856,1.7344285,1.8931074,1.8570658,1.8438885,2.0096638,1.9699703,2.094972,2.1099164,2.1069837,2.2195287,1.9332794,2.3701708,2.159372,2.1334274,2.0574253,2.2738476,1.8201447,2.383623,1.3226829,0.0
Tmem140,0.0,0.0,0.0653548,0.049394947,0.0,0.0,0.0,0.07140816,0.1307778,0.06693936,0.07329223,0.08440619,0.10811234,0.21392527,0.2161784,0.27303463,0.35684368,0.3664211,0.4486527,0.5182231,0.5624923,0.4769612,0.60583746,0.51419073,0.6083826,0.5324807,0.49569762,0.68205607,0.61468965,0.79890525,0.8676305,0.7612017,1.0055368,1.0613277,1.0994524,1.0503358,1.0926737,1.0627385,1.0866429,1.1475905,1.2117032,1.0574962,1.3053102,1.1593355,1.3243982,1.3504566,1.6238889,1.0436273,1.6785079,2.102595
Nmi,0.0,0.253431,0.16558757,0.21552388,0.21308908,0.14949836,0.3684619,0.042728025,0.12724155,0.2404934,0.21292764,0.28223073,0.5053875,0.74580735,0.88861126,0.9714399,1.0017046,0.9919287,1.0617737,1.055591,1.0451686,1.1076856,1.2487025,1.1333176,1.2021877,1.2185593,1.1774154,1.0756221,1.1729339,1.4052496,1.2095851,1.264595,1.3007474,1.462972,1.3755512,1.4872707,1.4319125,1.3037407,1.5368556,1.5818393,1.5504161,1.5897161,1.4849741,1.6850231,1.6026591,1.6507646,1.7007234,1.7367768,1.3697017,1.8548193
Irf7,0.43550077,0.9674069,0.17419131,0.39501798,0.3119012,0.1207861,0.28335306,0.0,0.6118764,0.66188806,0.622332,0.6774351,1.1021729,1.4895592,1.6633217,1.6171751,1.5312768,1.5418199,1.6467751,1.7294633,1.7631024,2.0836384,2.1276243,2.1656218,2.1309063,2.1017563,2.1466033,2.0211608,2.1845043,2.059177,2.078806,2.1006522,2.1116488,2.1858907,2.3660195,2.1498573,2.1243668,2.1107285,2.1533802,2.2836435,2.1743565,2.3213334,2.349936,2.3707056,2.0807261,2.274709,2.104923,2.2087393,1.4960963,1.0284929
Saa3,0.0,0.0,0.0,0.0,0.0,0.057125296,0.056733195,0.0,0.034137774,0.054010198,0.029414661,0.028923275,0.024907101,0.025224134,0.07258651,0.0833175,0.09832953,0.13706307,0.15160042,0.16190243,0.16460489,0.298684,0.35414937,0.2921781,0.4540014,0.42212754,0.5750548,0.66992086,0.9289418,0.82566184,0.7347129,0.90760016,0.9807459,1.1773334,1.2194825,1.6210161,1.388849,1.9194402,2.2997382,2.5399406,2.7039232,2.896257,2.841596,2.8663564,2.715411,2.9987903,1.852114,2.2775073,2.1553984,5.3444104
