genes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Inpp5d,0.0,0.0,0.0,0.110131994,0.025197338,0.0,0.0,0.23133819,0.0,0.07940154,0.025067946,0.043727726,0.032382935,0.027754592,0.050014343,0.051410396,0.038174316,0.039467946,0.049878307,0.04102002,0.048986286,0.03228626,0.048562255,0.047426913,0.06609514,0.054995123,0.012051099,0.09375466,0.030275857,0.07019812,0.08248768,0.037691854,0.05155298,0.056861293,0.07388932,0.061331023,0.114462756,0.06034798,0.070976354,0.018753309,0.030242724,0.11749121,0.0,0.08622816,0.025196332,0.04936807,0.124076486,0.1171767,0.0,0.0
Gnl2,0.0,0.11975761,0.0,0.0,0.0,0.094616696,0.0,0.047334068,0.0,0.007275668,0.017935125,0.026230345,0.0070775007,0.016469188,0.014082797,0.016211469,0.02200919,0.017271485,0.013583897,0.008483317,0.022466553,0.01839014,0.024322178,0.035902347,0.04846664,0.042414498,0.04619479,0.0069009666,0.04253293,0.028155584,0.053620096,0.03411079,0.0066499566,0.07403231,0.066038474,0.029940266,0.013065365,0.0,0.009516892,0.03077592,0.0,0.024674188,0.024851842,0.013043759,0.07585493,0.0,0.024361564,0.0,0.0,0.0
Tm2d3,0.0,0.1318458,0.18761463,0.0,0.10705717,0.03915692,0.18687181,0.093418814,0.05547966,0.092405304,0.1434157,0.12969148,0.10360669,0.109349504,0.08582986,0.116864026,0.11245503,0.09976465,0.14193225,0.17002988,0.15308157,0.13175078,0.10869174,0.10913681,0.096802235,0.18347777,0.20628335,0.12029826,0.1260727,0.18015012,0.12772065,0.12553066,0.20997632,0.15303773,0.1926743,0.13705043,0.07950447,0.18983145,0.10844722,0.14200494,0.029144958,0.15070862,0.1300032,0.07671139,0.10662843,0.20442286,0.19686475,0.08852782,0.0,0.0
Med28,0.43550077,0.0,0.15338393,0.1557839,0.0,0.0,0.051309384,0.0,0.083050266,0.05053961,0.052741986,0.05036708,0.035007466,0.05331253,0.037846915,0.05756967,0.047574963,0.056597635,0.07488673,0.09645427,0.10168793,0.0844818,0.011582157,0.053981345,0.046977233,0.07379311,0.037656855,0.061280653,0.04929928,0.07085731,0.0652399,0.051593088,0.05918521,0.10244622,0.061219115,0.1021234,0.0,0.057624336,0.027305046,0.058622364,0.09842876,0.053641796,0.11924,0.04479782,0.093245655,0.12956989,0.121331334,0.15558882,0.25653198,0.0
Hsdl2,0.0,0.0,0.10959722,0.3419241,0.1580895,0.16445808,0.102810666,0.06120325,0.06887616,0.09594503,0.08706689,0.07479458,0.077549465,0.09577055,0.08693198,0.09051017,0.08736428,0.095556594,0.06971942,0.08960085,0.106606625,0.10994889,0.12487622,0.09767849,0.12480493,0.1605364,0.11720531,0.093713015,0.14858513,0.14048237,0.1072871,0.2057485,0.10161715,0.044807356,0.09162345,0.071372844,0.19172198,0.07291517,0.07150952,0.11370761,0.16637506,0.13755694,0.07683451,0.112932414,0.1379106,0.15584852,0.0,0.12514682,0.0,0.0
Gpn3,0.43550077,0.11975761,0.20810358,0.045780227,0.17274036,0.0,0.20783058,0.14507566,0.12897357,0.049900156,0.05841431,0.030133735,0.049234223,0.05580885,0.04380583,0.053222906,0.04112633,0.04263425,0.026183994,0.051983684,0.06146217,0.04336475,0.052579433,0.06432649,0.060098022,0.070170306,0.10064365,0.10700377,0.099795595,0.06310276,0.08726256,0.098664515,0.08776721,0.08306387,0.13430846,0.11334823,0.071200825,0.09916135,0.020086242,0.041893985,0.071408205,0.05997038,0.024970487,0.09501235,0.10940421,0.04735298,0.13296804,0.0,0.0,1.0284929
B4galt7,0.0,0.0,0.0,0.050662618,0.0,0.062849455,0.0,0.0,0.0,0.012966765,0.020405738,0.02032232,0.0139141325,0.01702503,0.010889123,0.02121562,0.020098943,0.017854765,0.029617544,0.010893578,0.030438388,0.02538114,0.017894901,0.0230162,0.040178265,0.05294502,0.04259424,0.029325794,0.0,0.041071825,0.006532794,0.008584663,0.053245276,0.034772843,0.030362062,0.054136954,0.040971033,0.025902083,0.007816264,0.008852663,0.015395973,0.029230896,0.023074403,0.013764697,0.014438056,0.0,0.036964536,0.1347803,0.0,0.0
Sumo3,0.0,0.0,0.0,0.14969237,0.07882426,0.0,0.0,0.0,0.022012942,0.025512202,0.031162186,0.022613717,0.02808508,0.024850458,0.038537968,0.05715443,0.049493805,0.044688556,0.033721097,0.027879694,0.05436739,0.028700696,0.044959676,0.030962422,0.03834594,0.038723443,0.05656934,0.08289894,0.093268186,0.047577325,0.08554384,0.050265893,0.03509846,0.06474255,0.06541119,0.042093646,0.05838714,0.03402707,0.039811052,0.03348527,0.04061796,0.015949426,0.048486065,0.09406334,0.02998126,0.0,0.0,0.0,0.0,0.0
Clk3,0.0,0.25112802,0.16197383,0.10167846,0.14852013,0.0,0.11400835,0.07051064,0.079495296,0.10871746,0.08794037,0.13159126,0.103542045,0.0924959,0.090339065,0.09210338,0.09874821,0.12991008,0.101172276,0.11644159,0.0862358,0.09614727,0.14149806,0.111131765,0.15760133,0.15000376,0.15718913,0.12908518,0.18608932,0.14026889,0.13389714,0.13041313,0.10149485,0.12917411,0.1371084,0.118869245,0.15512721,0.08890435,0.11765055,0.16378431,0.087428726,0.10044844,0.16232446,0.13435653,0.15633035,0.07883697,0.07578734,0.1171767,0.0,1.0284929
Tmem11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020115072,0.027297659,0.06705174,0.038815968,0.034893878,0.03138911,0.042482916,0.04972064,0.047253482,0.054661505,0.0654576,0.05150953,0.033827648,0.044944998,0.02305382,0.046762202,0.06607629,0.06736375,0.067556545,0.07626014,0.043492153,0.09161956,0.06767763,0.060675498,0.06931229,0.09577257,0.052596133,0.07337321,0.0774768,0.04454832,0.030613165,0.018182099,0.038243353,0.051568612,0.033427022,0.016293274,0.04264327,0.0,0.0,0.0,0.0
Copa,0.0,0.0,0.10695803,0.105269894,0.059632108,0.12585802,0.18931542,0.14725932,0.036610965,0.072287284,0.059041146,0.05758909,0.067900494,0.063306436,0.041365065,0.055150818,0.060045056,0.07430606,0.07528822,0.060322803,0.06063892,0.07348037,0.057190593,0.05906512,0.053858817,0.10383056,0.09856504,0.10256752,0.07742444,0.11531177,0.039612006,0.092596844,0.06169495,0.14175642,0.08597106,0.09994842,0.100314334,0.07083455,0.030550446,0.082331784,0.09956699,0.08078013,0.050133053,0.09274047,0.09937766,0.058329657,0.059989095,0.0,0.12264863,0.0
Arih2,0.0,0.0,0.12654626,0.10348377,0.094861485,0.0611739,0.0,0.066184066,0.05582463,0.027290506,0.052730296,0.025657477,0.034909993,0.04322684,0.03306748,0.04063958,0.037665278,0.04737266,0.039888963,0.04137487,0.06888032,0.05142427,0.043771982,0.0570987,0.08097461,0.057503425,0.068735465,0.040811487,0.04420498,0.054689243,0.058204185,0.050997976,0.06814756,0.0823898,0.028514476,0.04737056,0.059151758,0.0700842,0.076963924,0.10282257,0.07483475,0.0,0.019940257,0.025316857,0.04255032,0.04142973,0.03526151,0.1171767,0.0,1.0284929
Cpsf6,0.53281075,0.0,0.16016543,0.0,0.07972599,0.13093406,0.15043871,0.0703202,0.02596911,0.026815569,0.019833727,0.023144746,0.033710137,0.028422406,0.017870106,0.030140901,0.017657412,0.03033945,0.020183394,0.021888057,0.061935518,0.028001223,0.024743574,0.040081862,0.047148596,0.024920927,0.036243472,0.06426572,0.032194987,0.06752264,0.034792516,0.034632627,0.039990243,0.08287246,0.027510485,0.05140683,0.029077414,0.041343883,0.045189675,0.051393878,0.06490125,0.077450484,0.03458545,0.064193815,0.050636426,0.026679361,0.041926675,0.11106156,0.09978296,0.0
Rbm10,0.0,0.15098396,0.035407245,0.0,0.04834086,0.0,0.0,0.0,0.03286825,0.016819507,0.030056346,0.030987548,0.01906912,0.03558255,0.031123074,0.031767298,0.0335018,0.031395443,0.057389643,0.020062353,0.036716174,0.024551913,0.040116195,0.029431708,0.039572105,0.058987465,0.055603642,0.0709327,0.033001278,0.027526641,0.030749474,0.05943925,0.040004846,0.037781943,0.036416646,0.03387648,0.10530772,0.050816186,0.057688054,0.06383753,0.04491306,0.009034185,0.018755108,0.035701986,0.030754007,0.05261563,0.046693828,0.12514682,0.0,0.0
Asna1,0.0,0.0,0.31498098,0.045780227,0.13115749,0.0,0.068670705,0.34571746,0.06310676,0.050075848,0.031410888,0.025098154,0.033768073,0.03929535,0.04415288,0.031320047,0.038008865,0.028620917,0.024516927,0.026329556,0.02678681,0.02935689,0.029091049,0.021143515,0.07960496,0.019015662,0.08168018,0.053389795,0.044470135,0.024524868,0.07648478,0.073357694,0.08999638,0.06808219,0.08630799,0.059424095,0.05122273,0.12262929,0.11381101,0.0632217,0.12030732,0.06209798,0.0,0.07508929,0.074744254,0.06242767,0.0,0.0,0.0,0.0
LOC100911991,0.0,0.0,0.05262188,0.0,0.0,0.06686904,0.0,0.042728025,0.0,0.016118353,0.008291789,0.0061406223,0.0026485436,0.016052045,0.0062199915,0.015279713,0.01655619,0.014766528,0.011537349,0.013940497,0.010952528,0.015953401,0.010198072,0.01213937,0.017282775,0.02466185,0.028208729,0.011271912,0.029145844,0.019618986,0.024014736,0.032566,0.028168892,0.016085248,0.021410666,0.017759258,0.03785489,0.026070405,0.011478186,0.017371593,0.038604196,0.011276902,0.013985108,0.014339819,0.0,0.05507207,0.0,0.0,0.0,0.0
Furin,0.96831155,0.0,0.10454722,0.21090405,0.3066726,0.32761046,0.16105442,0.21239181,0.23034488,0.24490845,0.21530576,0.1825011,0.16206604,0.17856844,0.19116731,0.18582155,0.19240111,0.18955444,0.16704515,0.18069749,0.19122177,0.14202036,0.20842537,0.22983433,0.2195736,0.16072038,0.22747417,0.21801254,0.27319297,0.18233857,0.2896491,0.2270069,0.25781658,0.21547836,0.2555056,0.23144612,0.26367182,0.29150316,0.25234568,0.23320073,0.3075837,0.24998821,0.13737333,0.19360897,0.2041266,0.24055143,0.24144754,0.24282147,0.24082083,0.0
Tfip11,0.0,0.0,0.05800459,0.041779693,0.10883823,0.0,0.18468055,0.0,0.0,0.043642163,0.023404414,0.020652095,0.024376618,0.034195255,0.035379473,0.030707676,0.031367403,0.034537304,0.041564353,0.03765946,0.048032347,0.045106024,0.057568464,0.017185643,0.03254644,0.038040265,0.0652467,0.04087514,0.070900835,0.046938255,0.056489773,0.05195006,0.04032082,0.058861915,0.02308683,0.054430068,0.081768535,0.01789471,0.062886186,0.039401468,0.009258463,0.032479472,0.026056193,0.0638417,0.07852374,0.0,0.10659213,0.0,0.0,1.0284929
Fam76a,0.43550077,0.1318458,0.24124119,0.14084843,0.14261971,0.0,0.10899988,0.115788095,0.1648013,0.119226955,0.09288293,0.12610444,0.08693752,0.08443757,0.055235244,0.059932254,0.08519857,0.0826106,0.102475375,0.08927149,0.09881198,0.08337224,0.08173515,0.094615206,0.09417563,0.0810792,0.069852546,0.07132076,0.11964218,0.10070458,0.14774658,0.08786714,0.12278922,0.13667193,0.08895742,0.09808039,0.21946007,0.088391595,0.17067425,0.124000415,0.18422197,0.17831078,0.18633525,0.1544115,0.13838732,0.054120515,0.1322055,0.12514682,0.10451657,0.0
Prkch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036610965,0.0,0.01619817,0.024567828,0.019424327,0.021445107,0.018811958,0.041856006,0.02387547,0.03608009,0.046787653,0.028533053,0.018692192,0.00787672,0.029826324,0.034132365,0.011166906,0.028709937,0.023674475,0.024763219,0.013390464,0.021050887,0.0440495,0.05584804,0.03708677,0.07046579,0.055415817,0.07511817,0.0,0.020129096,0.03948317,0.051299416,0.017767716,0.030993281,0.053905196,0.06403848,0.035336692,0.05704038,0.09496473,0.0,0.0,0.0
Mfsd5,0.0,0.0,0.05182209,0.0,0.042401467,0.10122447,0.105547525,0.14060083,0.036610965,0.024472725,0.027930902,0.027006024,0.025268232,0.03943328,0.029166242,0.036523923,0.022562247,0.04419511,0.043278784,0.024428813,0.024012124,0.018639049,0.040547695,0.013111601,0.048281483,0.042288937,0.05890121,0.06010962,0.09349854,0.08353404,0.048493147,0.07009001,0.05672442,0.06617442,0.07484708,0.0378212,0.026511567,0.043527387,0.057129584,0.039424445,0.04266691,0.042784236,0.036299393,0.05541908,0.05982111,0.0,0.07642895,0.1347803,0.0,0.0
Tom1,0.0,0.13083604,0.05182209,0.09522284,0.042123787,0.0,0.057617307,0.066184066,0.0,0.015501313,0.048735593,0.052306574,0.049130607,0.04091472,0.03299145,0.03176402,0.050337404,0.04258961,0.07196043,0.038124207,0.06285052,0.03889655,0.04282161,0.037070688,0.05611491,0.015696432,0.03209358,0.035154194,0.020097163,0.059237406,0.022981264,0.05175972,0.095662445,0.066498056,0.08520075,0.07583213,0.117310755,0.057188876,0.07494759,0.07802547,0.08195351,0.07643976,0.06473024,0.06774835,0.05169928,0.18349236,0.041926675,0.08852782,0.10451657,1.0284929
Mrps36,0.0,0.0,0.06252371,0.05172296,0.044018712,0.0,0.0,0.0,0.0,0.012762841,0.026881898,0.021515006,0.01719889,0.031361997,0.03606567,0.04633361,0.023881268,0.06083574,0.018907879,0.030328313,0.048351746,0.019015212,0.015696649,0.024306644,0.025599448,0.03395323,0.056962058,0.05567846,0.035347812,0.07337645,0.041419826,0.040101673,0.039929878,0.059671853,0.05704164,0.03310672,0.056053016,0.037615553,0.06169041,0.07519113,0.020013796,0.060410045,0.03945814,0.011329633,0.07236775,0.024322603,0.0,0.0,0.0,0.0
Snx20,0.53281075,0.45001978,0.31054157,0.47765943,0.33955374,0.53915787,0.30819777,0.3337978,0.554525,0.6154496,0.71066475,0.7613026,0.6559384,0.5574944,0.5796471,0.6431516,0.71918696,0.740361,0.7905076,0.820964,0.77694464,0.82340384,0.7479423,0.77541995,0.8294775,0.7915868,0.65866584,0.86209226,0.676989,0.8060486,0.81725085,0.7352204,0.6477255,0.7250143,0.7559986,0.6905594,0.6705762,0.5690263,0.55287546,0.61727774,0.5825132,0.61135143,0.6013269,0.4393914,0.70373744,0.70301783,0.66151136,0.3752468,0.61401594,1.0284929
Zkscan6,0.0,0.13137041,0.052725125,0.0,0.17686583,0.06264815,0.05731367,0.0,0.0,0.03992778,0.017292833,0.022226365,0.021523325,0.020042883,0.03054525,0.021417847,0.024493933,0.03622186,0.028848622,0.032895707,0.025616163,0.036226276,0.050708074,0.05308885,0.03899321,0.021391623,0.051922936,0.029599292,0.041955095,0.034731887,0.05648056,0.054152757,0.04305573,0.05830033,0.04365944,0.06313991,0.049436793,0.028311165,0.01949927,0.048025515,0.00968691,0.046838414,0.07876224,0.01797146,0.04413916,0.0,0.0,0.0,0.0,0.0
Zfp646,0.53281075,0.19863148,0.068541676,0.0,0.08355004,0.2301016,0.0,0.10999028,0.113183975,0.053442914,0.014751154,0.0098358,0.018006051,0.028428879,0.02499443,0.043196104,0.024623971,0.023293588,0.04113734,0.034854013,0.06019953,0.048256155,0.041401673,0.029771656,0.042639233,0.069998525,0.08682929,0.06038528,0.05124542,0.05952578,0.06021574,0.020618841,0.017791022,0.065464236,0.04304255,0.0804662,0.0969517,0.009012611,0.021641156,0.06112265,0.01958848,0.023270918,0.0,0.026901765,0.0,0.0,0.0,0.0,0.115734614,0.0
Prmt1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089669205,0.014378031,0.010056573,0.009650741,0.00660357,0.011848693,0.017771,0.012065903,0.012444729,0.016534463,0.019273622,0.01489869,0.031080855,0.009280357,0.015700715,0.0,0.009901288,0.008970038,0.02083511,0.011408695,0.05975688,0.044486415,0.028621191,0.03008517,0.009645508,0.048548922,0.022062402,0.031156594,0.0,0.035561446,0.007938067,0.033617307,0.06796747,0.025838627,0.012320546,0.011626447,0.014043773,0.016481295,0.0,0.0,0.0,0.0,0.0
Wbp11,0.0,0.45139477,0.11797668,0.3140734,0.13001166,0.06526028,0.28596315,0.07391909,0.29800546,0.1872805,0.17736985,0.15992576,0.13135453,0.14632374,0.13212006,0.16813508,0.14834057,0.19249485,0.18889861,0.18831567,0.2023414,0.15971436,0.1295587,0.11317614,0.18147337,0.18812113,0.16558371,0.15694407,0.16654924,0.19909285,0.17874335,0.17265587,0.21516061,0.17835684,0.19981194,0.22753198,0.14176756,0.17513612,0.17480774,0.1813368,0.1910891,0.30880126,0.101322345,0.15414603,0.1437648,0.23504551,0.25090992,0.17657861,0.40841055,1.0284929
Trappc2b,0.0,0.0,0.22142945,0.051760808,0.0,0.0,0.055609968,0.0,0.029474566,0.0077045853,0.028698789,0.018253297,0.017791355,0.024051946,0.027630003,0.035248034,0.026162343,0.026134878,0.014006272,0.016733732,0.016199986,0.027517928,0.04122707,0.02175598,0.056277566,0.053610284,0.06336681,0.059780154,0.04008985,0.02847667,0.04545103,0.072854765,0.07023162,0.039794162,0.03163,0.041377015,0.046809696,0.060350474,0.07752854,0.024360934,0.019275675,0.03311584,0.013382104,0.0,0.03139635,0.0,0.072527684,0.0,0.0,0.0
Pla2g4a,0.0,0.0,0.0,0.060391743,0.0,0.0,0.054399125,0.0,0.03792703,0.01744518,0.010733293,0.013167066,0.011742016,0.01218638,0.01907312,0.022547029,0.018999636,0.025363771,0.024812104,0.018040853,0.015806166,0.02965503,0.021752765,0.03413875,0.037116576,0.029229576,0.033008378,0.034090437,0.0,0.0513245,0.043992557,0.020270703,0.04796675,0.04725754,0.023092642,0.045947764,0.01644444,0.032205556,0.039692998,0.03913061,0.035391405,0.04479229,0.0438507,0.022384198,0.016599322,0.0,0.0,0.0,0.0,0.0
Uso1,0.0,0.0,0.38611814,0.0935405,0.08258004,0.077584155,0.054399125,0.067262255,0.07757506,0.06137107,0.0608602,0.050111484,0.057044186,0.060383327,0.042237036,0.05170814,0.04699557,0.048746683,0.043627314,0.05801947,0.09095542,0.059552465,0.0869876,0.08396597,0.07582645,0.068146266,0.06472923,0.09841396,0.1618565,0.06391906,0.035233475,0.14072676,0.1064083,0.034232426,0.055589247,0.030605186,0.105871975,0.030170945,0.13083905,0.11751755,0.09163217,0.056399904,0.09275582,0.08846644,0.065646894,0.0,0.037523575,0.22279483,0.12459522,1.0284929
LOC102550456,0.43550077,0.61618245,0.29166913,0.5531712,0.5172427,0.411136,0.3558838,0.57415855,0.19757769,0.19736734,0.19653314,0.15068817,0.1844175,0.27254057,0.2693954,0.23407668,0.2056502,0.21793424,0.23514868,0.26024035,0.23735276,0.39719838,0.40158772,0.4462916,0.43519112,0.4342207,0.4844503,0.31124562,0.3756471,0.32241353,0.28658286,0.343708,0.30272573,0.21443397,0.1676894,0.18742415,0.17755957,0.13786061,0.13256694,0.11698138,0.136262,0.16083854,0.16789635,0.034067184,0.18764585,0.101267256,0.0,0.0,0.0,0.0
Pdia6,0.0,0.102447025,0.0,0.10676015,0.04834086,0.0,0.057498805,0.042728025,0.0,0.042300195,0.07822546,0.057917014,0.06391362,0.05822684,0.055936594,0.06756769,0.058356687,0.08347061,0.059372015,0.07996957,0.06028533,0.070610546,0.10590391,0.10453412,0.09173815,0.047774166,0.12571943,0.086307555,0.12788804,0.035492137,0.07273167,0.060190383,0.08481676,0.06714341,0.05413022,0.10034887,0.1322187,0.05949511,0.0732862,0.095566176,0.05881952,0.118175335,0.060196597,0.10949215,0.06927641,0.0281432,0.068450876,0.08852782,0.0,0.0
Smarca4,0.0,0.13083604,0.17608452,0.0,0.025197338,0.03842723,0.0,0.0,0.0,0.037445553,0.02282109,0.01896029,0.009799439,0.020907642,0.01228703,0.008722137,0.013229314,0.020338003,0.017874662,0.01907052,0.0101528615,0.015010176,0.0020887202,0.024141483,0.04128386,0.03576104,0.05233242,0.007462411,0.08840309,0.065898895,0.046294224,0.026258912,0.029640373,0.022229308,0.025841385,0.041800395,0.034441695,0.027815819,0.018960653,0.018667806,0.0086741485,0.036668435,0.06411987,0.012249459,0.026089046,0.023638336,0.0,0.0,0.0,0.0
unknown_gene_3783,0.43550077,0.80079097,0.48235738,0.75338393,0.6639583,0.37398157,0.3345045,0.6881712,0.2558257,0.13990799,0.11118267,0.118975826,0.20386171,0.2264495,0.23257877,0.20824853,0.14336567,0.11802135,0.15828083,0.14973016,0.12849857,0.16993454,0.22028013,0.21371236,0.22725014,0.25950983,0.24798179,0.2541415,0.30993223,0.23013675,0.21363665,0.28480673,0.24020903,0.271822,0.31170586,0.2913988,0.26741886,0.33772597,0.24690077,0.28542972,0.26249254,0.23427258,0.30586472,0.18732736,0.31433022,0.19156855,0.21810643,0.24699384,0.22243159,0.0
Mrpl32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067262255,0.0,0.011283951,0.022036165,0.004495511,0.010603747,0.01196532,0.014365091,0.005459033,0.013357093,0.027039303,0.015216016,0.016646918,0.0025276802,0.013390731,0.015461774,0.019017395,0.004471137,0.022774339,0.026903681,0.03403746,0.03454051,0.033657856,0.009649678,0.008640448,0.024189824,0.015227304,0.033609036,0.029391626,0.013800455,0.031584065,0.019700605,0.036045406,0.035819203,0.010646033,0.023109714,0.0,0.01796239,0.026346698,0.0,0.0,0.0,0.0
Taf13,0.0,0.11975761,0.035407245,0.12177544,0.08212518,0.19089893,0.08970879,0.10121398,0.030456675,0.062484667,0.08881768,0.09719257,0.049892012,0.062626734,0.06285501,0.059271745,0.09663749,0.081984565,0.094831,0.061278537,0.08978716,0.07507375,0.09183444,0.0793361,0.080674686,0.08633081,0.1395698,0.044501364,0.106135964,0.09448794,0.081162,0.05522634,0.13261728,0.08581988,0.070337735,0.08789282,0.08733911,0.07138808,0.10968169,0.12134454,0.055106685,0.14017394,0.14976285,0.08701927,0.08427291,0.11677752,0.09738807,0.15558882,0.15740564,0.0
Cnep1r1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036610965,0.0,0.016420357,0.026402116,0.019878717,0.014801439,0.02063392,0.013589367,0.025677035,0.032647956,0.019603191,0.009094561,0.02760175,0.029126244,0.022957528,0.025862245,0.031058306,0.017749328,0.014605518,0.04069611,0.02514979,0.011392382,0.04876762,0.03264535,0.022791158,0.03885147,0.022611491,0.04044545,0.05308628,0.045133628,0.01658252,0.02001129,0.009948199,0.023861237,0.018106982,0.040952448,0.0,0.07683046,0.1838475,0.0,0.0,0.0
Ufc1,0.0,0.0,0.12818685,0.12513801,0.10076154,0.070879765,0.0,0.1441799,0.04904999,0.104725435,0.117238075,0.08492926,0.0751604,0.06463068,0.067060485,0.094796255,0.078468435,0.06525855,0.1283887,0.085275725,0.079976596,0.112865284,0.06622153,0.0779381,0.09005618,0.10216466,0.0888815,0.13313238,0.19045484,0.0786035,0.08782773,0.083300225,0.1326404,0.15380071,0.11256303,0.17056133,0.12691137,0.12572299,0.080789424,0.09423491,0.08041177,0.11212741,0.13865419,0.06374885,0.08049406,0.06383182,0.131195,0.12514682,0.0,0.0
Cox4i1,0.6646775,0.70115703,0.62618774,0.57215405,0.7081095,0.78075755,0.37692007,0.79998815,0.49685737,0.28054273,0.20783786,0.17358993,0.24146171,0.33175248,0.27405432,0.283097,0.24167219,0.24669611,0.23190285,0.26220927,0.21491426,0.25815487,0.29967684,0.27219227,0.31902677,0.40304515,0.35453436,0.33337763,0.32966343,0.35553432,0.4154035,0.41203612,0.28865805,0.4600096,0.35864234,0.35657072,0.4817325,0.22534835,0.33472303,0.27490708,0.25605398,0.37115955,0.26203784,0.3316103,0.27099073,0.23613192,0.14640471,0.11106156,0.0,0.0
Kat5,0.0,0.102447025,0.0,0.05193822,0.042123787,0.18720476,0.054399125,0.0,0.057923693,0.05180311,0.042028937,0.04813564,0.0374594,0.06998792,0.058714233,0.054814048,0.07116463,0.0439292,0.05705856,0.074566,0.06597256,0.059030857,0.09158274,0.08409079,0.07284448,0.08994457,0.08572368,0.037968636,0.033136103,0.11101637,0.061053377,0.07695769,0.09307107,0.096361056,0.058067355,0.1072578,0.111628205,0.03734535,0.06371249,0.063258536,0.05666371,0.034741726,0.039848957,0.09520805,0.04098265,0.06281505,0.0,0.0,0.10451657,1.0284929
Rae1,0.0,0.0,0.06252371,0.0,0.0,0.0,0.15794213,0.0,0.0,0.039911572,0.0398673,0.041767724,0.033942673,0.034979276,0.038260058,0.051409278,0.050280567,0.062335446,0.049665436,0.030790951,0.04375696,0.042562507,0.03154354,0.041658487,0.061378248,0.065113574,0.084646754,0.10019048,0.07789203,0.012134535,0.09374718,0.033946924,0.050710253,0.07934478,0.07046799,0.056759663,0.07374005,0.03998161,0.075292446,0.08517374,0.01880559,0.016060112,0.028668923,0.04038179,0.03532694,0.024322603,0.0,0.0,0.0,0.0
B230219D22Rik,0.0,0.0,0.0,0.0,0.17533244,0.06526028,0.057617307,0.122444935,0.053546496,0.041937742,0.030976363,0.030696096,0.02209059,0.04115273,0.032439847,0.0338402,0.023179853,0.025978044,0.02822133,0.04548763,0.038433757,0.03335081,0.039426282,0.061387528,0.048531123,0.027508778,0.04911663,0.026270304,0.033049025,0.09492096,0.043530144,0.040931717,0.05317116,0.07401033,0.049177777,0.07423608,0.11419072,0.07101758,0.06497174,0.03395048,0.047851898,0.08108546,0.064402096,0.019978056,0.04543703,0.11030811,0.035614703,0.0,0.0,0.0
Bnip1,0.43550077,0.0,0.035407245,0.0,0.0,0.0,0.0,0.0,0.05889523,0.0,0.014125534,0.014167109,0.0077660857,0.009256423,0.016674727,0.008874334,0.01230674,0.022235753,0.0023255358,0.0174381,0.008376306,0.012062286,0.020932928,0.0038110556,0.013393526,0.0066047423,0.026600739,0.01832312,0.013684198,0.020019721,0.02337129,0.044898845,0.032107744,0.023190778,0.0262995,0.030845203,0.022845367,0.005123832,0.0187641,0.032152195,0.02865842,0.012006085,0.048677444,0.01719105,0.04519921,0.0,0.0,0.0,0.10451657,0.0
CUNH20orf27,0.0,0.0,0.0,0.045327954,0.0,0.0,0.0,0.0,0.02660211,0.0169108,0.010506237,0.010949597,0.010138258,0.022856176,0.035916876,0.038095575,0.04057444,0.03460423,0.044758014,0.04781055,0.0312656,0.014239229,0.024987545,0.0066579725,0.033900313,0.019760897,0.023738572,0.02624266,0.022638677,0.02905469,0.06913335,0.035848856,0.023377653,0.021698056,0.058973614,0.024893317,0.07256771,0.043993607,0.026198275,0.03756626,0.012565913,0.016060112,0.046514023,0.01148843,0.016599322,0.07958955,0.07553951,0.11106156,0.0,0.0
Eif3i,0.0,0.25059366,0.10959722,0.0,0.08141173,0.057125296,0.10166785,0.2050017,0.013917095,0.12129416,0.1075172,0.117290616,0.09981937,0.096983045,0.09844156,0.112984896,0.1259514,0.11773877,0.14546339,0.13752985,0.14217196,0.07936058,0.08367869,0.0900159,0.15329874,0.15763749,0.14291501,0.13036108,0.16384757,0.10894615,0.14479752,0.15299366,0.18268934,0.17774461,0.14850071,0.10315924,0.12659241,0.16515192,0.14116284,0.1213016,0.08709907,0.14496101,0.07693505,0.16209984,0.10019092,0.053486805,0.033544984,0.19811797,0.2518822,0.0
Imp3,0.0,0.0,0.0,0.045327954,0.044018712,0.0,0.044820562,0.0,0.073055536,0.042514995,0.023253338,0.030503621,0.03378932,0.03385209,0.030441655,0.042883433,0.038441002,0.045378763,0.03151373,0.037520412,0.03900825,0.03161382,0.044603392,0.02115189,0.022627387,0.061154004,0.045613922,0.0897764,0.050127976,0.052211598,0.076621085,0.036399525,0.056681484,0.05471895,0.07285448,0.052399047,0.04896731,0.03525585,0.055114564,0.09050178,0.034990586,0.058872268,0.021557573,0.047881972,0.0,0.05317072,0.0,0.0,0.10451657,0.0
