Organism,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Roborovski hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster,Syrian hamster
Dosage,0 pfu,0 pfu,0 pfu,1x10$^4$ pfu,1x10$^4$ pfu,1x10$^4$ pfu,1x10$^4$ pfu,1x10$^4$ pfu,1x10$^4$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,0 pfu,0 pfu,0 pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu,1x10$^5$ pfu
Time,0 dpi,0 dpi,0 dpi,2 dpi,2 dpi,2 dpi,3 dpi,3 dpi,3 dpi,2 dpi,2 dpi,2 dpi,3 dpi,3 dpi,3 dpi,0 dpi,0 dpi,0 dpi,2 dpi,2 dpi,2 dpi,3 dpi,3 dpi,3 dpi,5 dpi,5 dpi,5 dpi,14 dpi,14 dpi,14 dpi
replicate,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
celltype_rough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bcells,1.162597415159389,0.9284881553441395,0.8403536200611583,0.9030621762236208,1.140580647423507,0.9345154922245423,0.9425819519066991,0.8885837552171958,0.9824193916620836,1.0024826083919818,1.0700713884800095,1.03904545780962,0.9267779495081894,1.1847562581434232,0.8143439943220894,1.0049585143273703,0.9941343142359841,1.0007521569862228,0.9505299271507899,0.7266800473913849,0.7130311366244879,0.6776963421241579,0.6665204856166131,0.6883665928371614,0.7584432125995856,0.7681639503419828,0.7867814518601309,0.8370798028038032,0.9113382920769202,0.8215667488905521
Endothelial cells,0.996910607354175,0.9941468791841086,1.0090778527403466,1.0317011693218436,1.0075546261469408,0.9840208502864805,1.0728979226066058,1.175276411886611,0.9768504608431069,1.306664441949699,1.4629039473503602,1.4177948863574386,1.124536603807862,1.337662386385672,1.054922731528994,1.0141634154165693,1.0269721078064658,0.921250449556101,1.009143076317902,0.9322123455009174,0.9685258372819653,0.9336589745425653,0.9515984884363309,0.922123766045359,1.0395388358954085,1.0627988290761492,1.1387876606959362,1.0144469353620986,1.1137639602780378,1.0053785813740945
Epithelial cells,0.9953233765907012,1.02612546557174,0.9612283645367051,1.0588794680811515,1.0886144743592363,0.9046886110783552,1.2408465952226633,1.3155489495749126,1.1340326833083605,1.1937889877093073,1.426649960637103,1.309932106801553,1.1478073589598172,1.3566770951930225,0.9787221633670462,1.042533279840109,1.1054877426075214,0.8953728026948893,1.2390456080181513,1.0089316091499907,0.9975225540062806,0.9839634454028079,0.9359287317486354,0.9610674813507947,1.0579521124609403,1.0223049308081167,1.105708375563275,1.0674007625642632,1.1557906487460865,1.1151997664925983
Erythrocytes,1.190321119801604,0.7218563365396662,1.3115887443186056,1.2471592984992719,1.1325716215246129,0.9802818428914436,0.8971714956900233,1.151745429136558,1.1821026884156658,2.339195576260346,1.8662458397091493,2.1181221465378384,2.0476122002498918,2.0544667805534793,0.9232409709922043,1.018515014006532,0.9849451901788935,0.9972318366516596,0.6182487678344755,0.47428878132936875,0.5992726506567412,0.36685999236524985,0.3471623437401568,0.5946142181217117,,,,0.45153729446027135,0.5384506422238529,0.4584726252628259
Fibroblasts,0.9716672090990143,0.8955448351205928,1.0914839700951067,1.0655327639937473,1.028243030960507,1.2550026183520429,1.2266376055207857,1.2374753818543012,1.1478275140687704,1.5749664979729319,1.8241244700491615,1.148481554253235,1.2815898774894843,1.560497095731574,1.3018040534693387,1.1209533655225765,1.092046799290981,0.976333315020716,1.0505547210121757,1.1372146163303862,1.3664607173210925,0.9112516087918515,0.9204778484173544,1.0224733152699115,1.0422504049209456,1.0066953937113,1.2109839691136137,1.048226565047228,1.109260860328535,1.084103034421925
ILC2,1.091873228325799,0.8574860467912802,0.9625115297339263,1.2377682023977254,1.1196883261427568,1.2654850134445,0.8175653635700905,0.7391083050905387,1.2787032956662587,1.0102917169845516,0.9615084395754572,0.9160085702254543,0.7854545138490883,0.971390330930808,0.8781163285878042,1.0417687232041857,0.9819501807017698,0.983869942660376,0.9328618031052098,0.9091455142635283,1.0202924317347803,0.8577692525372609,0.9522565260713672,1.0117150837014541,1.0369283294368983,0.9599410026656632,0.952548527718396,1.017058627843275,1.0843336200799603,1.0265643034410064
Macrophages,1.023299984540892,1.0009701569430778,0.9738040524073583,1.0245575018735404,1.074491486232004,0.9883121298624512,1.036932563345065,0.9986736428920472,1.0702492464932292,1.2198004817379713,1.2258797242139654,1.2604776964439444,1.0731692286693104,1.1595167372844066,0.9930714878514877,1.0238437951539943,0.9926500663942859,0.9915534902304235,0.952497104113829,0.9633393491666996,0.9302274837423927,0.8559646713955559,0.8607601535675499,0.9204032821093301,0.9966409910603146,1.039494562610664,1.0371949532202496,0.9485488489141163,0.9352074006750956,0.9516234870009831
