celltype,Organism,Dosage,Organism_Dosage,Time,replicate,mean_virus_counts,mean_virus_normalized_counts,fraction_virus_positive_cells,cell_counts,cells_with_virus
AT2,Roborovski hamster,1x10$^5$ pfu,"Roborovski hamster, 1x10$^5$ pfu",3 dpi,1,0.1794871794871795,0.0017552792040191566,0.16666666666666666,78,13
AT2,Roborovski hamster,1x10$^5$ pfu,"Roborovski hamster, 1x10$^5$ pfu",3 dpi,2,0.03225806451612903,0.0002710533948082419,0.03225806451612903,31,1
AT2,Roborovski hamster,1x10$^5$ pfu,"Roborovski hamster, 1x10$^5$ pfu",3 dpi,3,0.025806451612903226,0.0002104465761718071,0.025806451612903226,155,4
AT2,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",2 dpi,1,0.3055555555555556,0.0027243364726588404,0.20833333333333334,72,15
AT2,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",2 dpi,2,0.296875,0.0018166492989679969,0.03125,128,4
AT2,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",2 dpi,3,0.010101010101010102,9.449027222647374e-05,0.010101010101010102,99,1
AT2,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",3 dpi,1,0.23893805309734514,0.002075291624400323,0.12389380530973451,113,14
AT2,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",3 dpi,2,0.06790123456790123,0.0005448845802816599,0.05555555555555555,162,9
AT2,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",3 dpi,3,0.397196261682243,0.0029640752240591185,0.21495327102803738,214,46
AT2,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",5 dpi,1,0.0,0.0,0.0,39,0
AT2,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",5 dpi,2,0.06818181818181818,0.00042304104202113226,0.05,220,11
AT2,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",5 dpi,3,0.029585798816568046,0.00016573795712261597,0.011834319526627219,169,2
AT2,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",14 dpi,1,0.0,0.0,0.0,184,0
AT2,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",14 dpi,2,0.0,0.0,0.0,149,0
AT2,Syrian hamster,1x10$^5$ pfu,"Syrian hamster, 1x10$^5$ pfu",14 dpi,3,0.0,0.0,0.0,207,0
AlveolarMacrophages,Roborovski hamster,1x10$^4$ pfu,"Roborovski hamster, 1x10$^4$ pfu",2 dpi,1,0.03007518796992481,0.00022359810270119172,0.03007518796992481,133,4
AlveolarMacrophages,Roborovski hamster,1x10$^4$ pfu,"Roborovski hamster, 1x10$^4$ pfu",2 dpi,2,0.0,0.0,0.0,75,0
AlveolarMacrophages,Roborovski hamster,1x10$^4$ pfu,"Roborovski hamster, 1x10$^4$ pfu",2 dpi,3,0.0,0.0,0.0,115,0
AlveolarMacrophages,Roborovski hamster,1x10$^4$ pfu,"Roborovski hamster, 1x10$^4$ pfu",3 dpi,1,1.75,0.006349078797667325,0.0875,80,7
AlveolarMacrophages,Roborovski hamster,1x10$^4$ pfu,"Roborovski hamster, 1x10$^4$ pfu",3 dpi,2,2.5970149253731343,0.036152747926267804,0.16417910447761194,67,11
